知其所以然 	zhīqí suǒyǐrán 	(Ph ) to know the why (classical) 
國民 	guómín 	(N) citizen 
區分 	qūfēn 	(V) to distinguish (between) 
廣 	guǎng 	(Vs) extensive 
見聞 	jiànwén 	(N) knowledge obtained from seeing and hearing (e.g., when traveling) 
提取 	tíqǔ 	(V) to obtain, to draw essence from 
預見 	yùjiàn 	(V) to predict, to foresee 
防範 	fángfàn 	(V) to take precautions, to guard against, to prevent 
未雨綢繆 	wèiyǔ chóumóu 	(Id) to be prepared against eventualities 
促發 	cùfā 	(V) to trigger, to initiate 
凡是 	fánshì 	(Conj) all, every 
性命交關 	xìngmìng jiāoguān 	(Id) matter of life and death, critical moments 
模仿 	mófǎng 	(V) to mimic, to imitate 
機制 	jīzhì 	(N) mechanism 
有樣學樣  	yǒuyàng xuéyàng 	(Id) to imitate someone’s example 
孟母三遷 	Mèngmǔ sānqiān 	(Id) Mencius’ mother moved three times to better his education 
內隱 	nèiyǐn 	(Vs-attr) implicit, implied, hidden 
暴露 	pùlù 	(Vi) to be exposed to 
造影 	zàoyǐng 	(Vi) imaging 
精進 	jīngjìn 	(Vs) advanced 
解開 	jiěkāi 	(Vpt) to unravel, to unlock, to solve 
基因 	jīyīn 	(N) gene, genes  
謎 	mí 	(N) riddle, mystery 
受虐 	shòunüè 	(Vs) to be abused 
調控 	tiáokòng 	(V/N) to adjust, to adjust and control, adjustment 
憂鬱 	yōuyù 	(Vs) depressed 
掉以輕心	diàoyǐ qīngxīn	(Id) to take lightly, dismiss, adopt a casual attitude towards 
起點	qǐdiǎn	(N) starting point 
題目	tímù	(N) (test) question, problem 
二度空間	xiējiǎo 	(V-sep) take a break, stop on the way for a rest 
區域	qūyù	(N) region, area 
促使	cùshǐ	(V) to prompt, to make, to impel, to drive 
連接	liánjiē	(V/N) to link, to connect, connection 
動手 	dòngshǒu 	(V-sep) to do (with one's hands, personally) 
人生苦短 	rénshēng kǔduǎn 	(Ph) life is short and tough 
攻無不克 	gōngwú búkè 	(Id) nothing can stop you, you will succeed in everything, you will be ever-victorious 
事無不成 	shìwú bùchéng 	(Id) nothing will be impossible, stick to it and you will succeed 
失讀症 	Shīdúzhèng 	Dyslexia 
李光耀 	Lǐguāngyào 	Lee Kuan Yew (Prime Minister of Singapore from 1959 to 1990, 1923-2015) 
妥瑞氏症 	Tuǒruìshì zhèng 	Tourette syndrome 
鏡像神經元 	jìngxiàng shénjīngyuán 	mirror neuron (a neuron that fires both when an animal acts and when the animal observes the same action performed by another) 
